Servicii,Consultatie generala,30
Servicii,Consultatie de specialitate,70
Servicii,Taiat unghii,15
Servicii,Vidare glande perianale,25
Servicii,Toaletare auriculara,25
Servicii,Examinare lampa Wood,40
Servicii,Sondaj uretral (+pretul sondei),50
Servicii,Toaletare locala,25
Servicii,Bandaj simplu,25
Vaccinari si eliberari documente,Nobivac Parvo-C,70
Vaccinari si eliberari documente,Nobivac DHPPi +L,80
Vaccinari si eliberari documente,Nobivac DHPPi +RL,150
Vaccinari si eliberari documente,Nobivac Rabies,180
Vaccinari si eliberari documente,Canvac DHPPi +L,60
Vaccinari si eliberari documente,Biocan Rabies,50
Vaccinari si eliberari documente,Vaccin pisica PCH,80
Vaccinari si eliberari documente,Vaccin PCHR,90
Vaccinari si eliberari documente,Microcipare,90
Vaccinari si eliberari documente,Inregistrare RECS + eliberare document,30
Vaccinari si eliberari documente,Carnet de sanatate inseriat,20
Vaccinari si eliberari documente,Pasaport,200
Examene paraclinice,Test Dirofilaria,150
Examene paraclinice,Teste rapide boli infectioase (CPV, CDV, FeLV, FIV),90-120
Stomatologie,Detartraj pisica,200
Stomatologie,Detartraj caine < 25kg,250
Stomatologie,Extractie dentara (+ costul anesteziei),50
Chirurgie,Castrare mascul pisica,200
Chirurgie,Sterilizare femela pisica,250
Chirurgie,Castrare mascul caine < 25kg,300
Chirurgie,Sterilizare femela caine < 25kg,400
Chirurgie,Castrare mascul caine > 25kg,350-500
Chirurgie,Sterilizare femela caine > 25kg,450-600
Chirurgie,Castrare mascul iepure,250
Chirurgie,Sterilizare femela iepure,350
Chirurgie,Cezariana,400-600
Chirurgie,Ablatie tumori (in functie de dimensiunea si localizarea tumorii),250-700
Chirurgie,Masterectomie,350
Chirurgie,Enterotomie,700
Chirurgie,Splenectomie,650
Chirurgie,Tarsorafie/blefarorafie,300
Chirurgie,Enucleere glob ocular,280
Chirurgie,Infundarea glandei Harder (Cherry eye),500
Chirurgie,Remediere chirurgicala othematom,350
Chirurgie,Analize de sange - biochimie - prechirurgicala,120
Cosmetica,Pachet tuns caine < 10kg, 120
Cosmetica,Pachet tuns caine 10-25kg, 140
Cosmetica,Pachet tuns caine > 25kg, de la 160
Cosmetica,Pachet tuns pisica, 140
